Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-r5.json	1770	-	0	0	0	0	0	0	1	59	0	0	0	0	0	0	0	1	0	0	45	45	0	0	0	2	0	0
fsh-generated/resources/Patient-PatientExample.json	249	18	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	597	15	0	68	0	0	0	1	0	76	0	0	1	0	0	0	0	1	0	0	184	784	0	0	0	6	1	1
