Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-r4.json	1465	-	0	0	0	0	1	0	4	235	0	0	0	0	0	0	0	0	0	0	76	53	0	0	0	3	0	1
fsh-generated/resources/Patient-PatientExample.json	249	17	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	597	13	0	79	1	0	0	0	0	85	0	0	1	0	0	0	0	1	0	0	164	569	0	0	0	10	0	2
